FLUKE 289;  V1.16;  32760112 Ammann

To display full timestamps use Format Cells �m/d/y hh:mm:ss.0'

Start Time;Stop Time;Elapsed Time;Interval;Total readings;Intervals;Input Events;Session Name
25.08.2020 20:03:28;25.08.2020 20:13:26;0:09:58;0:00:01;606;599;14;Circuit 1
Max Time;Max;Average;Min;Min Time;Scaling;
25.08.2020 20:03:40;5,4262 A AC;3,8067 A AC;0,0000 A AC;25.08.2020 20:03:28;(none)

Reading;Sample;Start Time;Duration;Max Time;Max;Average;Min Time;Min;Description;Stop Time
1;0,0000 A AC;25.08.2020 20:03:27,6;0:00:00,2;25.08.2020 20:03:27,6;0,0000 A AC;0,0000 A AC;25.08.2020 20:03:27,6;0,0000 A AC;Interval;25.08.2020 20:03:27,8
2;0,0000 A AC;25.08.2020 20:03:27,8;0:00:01,0;25.08.2020 20:03:27,8;0,0000 A AC;0,0000 A AC;25.08.2020 20:03:27,8;0,0000 A AC;Interval;25.08.2020 20:03:28,8
3;0,0000 A AC;25.08.2020 20:03:28,8;0:00:01,0;25.08.2020 20:03:28,8;0,0000 A AC;0,0000 A AC;25.08.2020 20:03:28,8;0,0000 A AC;Interval;25.08.2020 20:03:29,8
4;0,0000 A AC;25.08.2020 20:03:29,8;0:00:01,0;25.08.2020 20:03:29,8;0,0000 A AC;0,0000 A AC;25.08.2020 20:03:29,8;0,0000 A AC;Interval;25.08.2020 20:03:30,9
5;0,0000 A AC;25.08.2020 20:03:30,9;0:00:01,0;25.08.2020 20:03:30,9;0,0000 A AC;0,0000 A AC;25.08.2020 20:03:30,9;0,0000 A AC;Interval;25.08.2020 20:03:31,9
6;0,0000 A AC;25.08.2020 20:03:31,9;0:00:00,3;25.08.2020 20:03:32,1;0,3690 A AC;0,1713 A AC;25.08.2020 20:03:31,9;0,0000 A AC;Unstable;25.08.2020 20:03:32,2
7;0,4176 A AC;25.08.2020 20:03:32,2;0:00:00,7;25.08.2020 20:03:32,8;0,4376 A AC;0,4334 A AC;25.08.2020 20:03:32,2;0,4176 A AC;Interval;25.08.2020 20:03:32,9
8;0,4376 A AC;25.08.2020 20:03:32,9;0:00:01,0;25.08.2020 20:03:33,2;0,4379 A AC;0,4376 A AC;25.08.2020 20:03:33,7;0,4373 A AC;Interval;25.08.2020 20:03:33,9
9;0,4375 A AC;25.08.2020 20:03:33,9;0:00:01,0;25.08.2020 20:03:33,9;0,4375 A AC;0,4374 A AC;25.08.2020 20:03:34,5;0,4373 A AC;Interval;25.08.2020 20:03:34,9
10;0,4373 A AC;25.08.2020 20:03:34,9;0:00:01,0;25.08.2020 20:03:34,9;0,4373 A AC;0,4371 A AC;25.08.2020 20:03:35,3;0,4370 A AC;Interval;25.08.2020 20:03:35,9
